Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
143295,AAA Batteries (4-pack),1,2.99,NA,NA
143296,Apple Airpods Headphones,1,150.0,NA,NA
143297,27in 4K Gaming Monitor,1,389.99,NA,NA
143298,Bose SoundSport Headphones,1,99.99,NA,NA
143299,Apple Airpods Headphones,1,150.0,NA,NA
143300,27in FHD Monitor,1,149.99,NA,NA
143301,Wired Headphones,1,11.99,NA,NA
143302,Wired Headphones,1,11.99,NA,NA
143303,27in FHD Monitor,1,149.99,NA,NA
143304,AAA Batteries (4-pack),1,2.99,NA,NA
143305,USB-C Charging Cable,1,11.95,NA,NA
143306,Apple Airpods Headphones,1,150.0,NA,NA
143307,Google Phone,1,600.0,NA,NA
143308,AA Batteries (4-pack),1,3.84,NA,NA
143309,20in Monitor,1,109.99,NA,NA
143310,20in Monitor,1,109.99,NA,NA
143311,Google Phone,1,600.0,NA,NA
143312,iPhone,1,700.0,NA,NA
143313,USB-C Charging Cable,1,11.95,NA,NA
143314,Wired Headphones,1,11.99,NA,NA
143315,Lightning Charging Cable,1,14.95,NA,NA
143316,ThinkPad Laptop,1,999.99,NA,NA
143317,Bose SoundSport Headphones,1,99.99,NA,NA
143318,AAA Batteries (4-pack),1,2.99,NA,NA
143319,Bose SoundSport Headphones,1,99.99,NA,NA
143320,iPhone,1,700.0,NA,NA
143321,Google Phone,1,600.0,NA,NA
143322,Apple Airpods Headphones,1,150.0,NA,NA
143323,27in FHD Monitor,1,149.99,NA,NA
143324,USB-C Charging Cable,1,11.95,NA,NA
143325,34in Ultrawide Monitor,1,379.99,NA,NA
143326,AA Batteries (4-pack),1,3.84,NA,NA
143327,27in 4K Gaming Monitor,1,389.99,NA,NA
143328,Lightning Charging Cable,1,14.95,NA,NA
143329,Google Phone,1,600.0,NA,NA
143330,Lightning Charging Cable,1,14.95,NA,NA
143331,27in FHD Monitor,1,149.99,NA,NA
143332,AAA Batteries (4-pack),1,2.99,NA,NA
143333,Lightning Charging Cable,1,14.95,NA,NA
143334,Wired Headphones,1,11.99,NA,NA
143335,27in FHD Monitor,1,149.99,NA,NA
143336,ThinkPad Laptop,1,999.99,NA,NA
143337,USB-C Charging Cable,1,11.95,NA,NA
143338,Bose SoundSport Headphones,1,99.99,NA,NA
143339,ThinkPad Laptop,1,999.99,NA,NA
143340,Vareebadd Phone,1,400.0,NA,NA
143341,iPhone,1,700.0,NA,NA
143342,USB-C Charging Cable,1,11.95,NA,NA
143343,iPhone,1,700.0,NA,NA
143344,USB-C Charging Cable,1,11.95,NA,NA
143345,USB-C Charging Cable,1,11.95,NA,NA
143346,AAA Batteries (4-pack),1,2.99,NA,NA
143347,iPhone,1,700.0,NA,NA
143348,Wired Headphones,1,11.99,NA,NA
143349,34in Ultrawide Monitor,1,379.99,NA,NA
143350,AA Batteries (4-pack),1,3.84,NA,NA
143351,USB-C Charging Cable,1,11.95,NA,NA
143352,Wired Headphones,1,11.99,NA,NA
143353,AAA Batteries (4-pack),1,2.99,NA,NA
143354,Apple Airpods Headphones,1,150.0,NA,NA
143355,Bose SoundSport Headphones,1,99.99,NA,NA
143356,Lightning Charging Cable,1,14.95,NA,NA
143357,AAA Batteries (4-pack),1,2.99,NA,NA
143358,Lightning Charging Cable,1,14.95,NA,NA
143359,AA Batteries (4-pack),1,3.84,NA,NA
143360,AAA Batteries (4-pack),1,2.99,NA,NA
143361,Lightning Charging Cable,1,14.95,NA,NA
143362,Lightning Charging Cable,1,14.95,NA,NA
143363,USB-C Charging Cable,1,11.95,NA,NA
143364,34in Ultrawide Monitor,1,379.99,NA,NA
143365,Wired Headphones,1,11.99,NA,NA
143366,Apple Airpods Headphones,1,150.0,NA,NA
143367,27in FHD Monitor,1,149.99,NA,NA
143368,27in 4K Gaming Monitor,1,389.99,NA,NA
143369,Macbook Pro Laptop,1,1700.0,NA,NA
143370,USB-C Charging Cable,1,11.95,NA,NA
143371,USB-C Charging Cable,1,11.95,NA,NA
143372,AAA Batteries (4-pack),1,2.99,NA,NA
143373,Wired Headphones,1,11.99,NA,NA
143374,34in Ultrawide Monitor,1,379.99,NA,NA
143375,Bose SoundSport Headphones,1,99.99,NA,NA
143376,AAA Batteries (4-pack),1,2.99,NA,NA
143377,AAA Batteries (4-pack),1,2.99,NA,NA
143378,Lightning Charging Cable,1,14.95,NA,NA
143379,Wired Headphones,1,11.99,NA,NA
143380,Lightning Charging Cable,1,14.95,NA,NA
143381,AA Batteries (4-pack),1,3.84,NA,NA
143382,Google Phone,1,600.0,NA,NA
143383,Apple Airpods Headphones,1,150.0,NA,NA
143384,USB-C Charging Cable,1,11.95,NA,NA
143385,USB-C Charging Cable,1,11.95,NA,NA
143386,Bose SoundSport Headphones,1,99.99,NA,NA
143387,AAA Batteries (4-pack),1,2.99,NA,NA
143388,Apple Airpods Headphones,1,150.0,NA,NA
143389,AA Batteries (4-pack),1,3.84,NA,NA
143390,27in FHD Monitor,1,149.99,NA,NA
143391,27in FHD Monitor,1,149.99,NA,NA
143392,ThinkPad Laptop,1,999.99,NA,NA
143393,Wired Headphones,1,11.99,NA,NA
143394,Lightning Charging Cable,1,14.95,NA,NA
143395,AA Batteries (4-pack),1,3.84,NA,NA
143396,AA Batteries (4-pack),1,3.84,NA,NA
143397,Flatscreen TV,1,300.0,NA,NA
143398,Apple Airpods Headphones,1,150.0,NA,NA
143399,AA Batteries (4-pack),1,3.84,NA,NA
143400,USB-C Charging Cable,1,11.95,NA,NA
143401,USB-C Charging Cable,1,11.95,NA,NA
143402,Macbook Pro Laptop,1,1700.0,NA,NA
143403,Lightning Charging Cable,1,14.95,NA,NA
143404,Bose SoundSport Headphones,1,99.99,NA,NA
143405,Flatscreen TV,1,300.0,NA,NA
143406,27in FHD Monitor,1,149.99,NA,NA
143407,Google Phone,1,600.0,NA,NA
143408,AA Batteries (4-pack),1,3.84,NA,NA
143409,iPhone,1,700.0,NA,NA
143410,Bose SoundSport Headphones,1,99.99,NA,NA
143411,Bose SoundSport Headphones,1,99.99,NA,NA
143412,Bose SoundSport Headphones,1,99.99,NA,NA
143413,27in FHD Monitor,1,149.99,NA,NA
143414,Apple Airpods Headphones,1,150.0,NA,NA
143415,USB-C Charging Cable,1,11.95,NA,NA
143416,USB-C Charging Cable,1,11.95,NA,NA
143417,Bose SoundSport Headphones,1,99.99,NA,NA
143418,Apple Airpods Headphones,1,150.0,NA,NA
143419,USB-C Charging Cable,1,11.95,NA,NA
143420,Google Phone,1,600.0,NA,NA
143421,27in 4K Gaming Monitor,1,389.99,NA,NA
143422,AA Batteries (4-pack),1,3.84,NA,NA
143423,AA Batteries (4-pack),1,3.84,NA,NA
143424,Wired Headphones,1,11.99,NA,NA
143425,USB-C Charging Cable,1,11.95,NA,NA
143426,Bose SoundSport Headphones,1,99.99,NA,NA
143427,Lightning Charging Cable,1,14.95,NA,NA
143428,AAA Batteries (4-pack),1,2.99,NA,NA
143429,Lightning Charging Cable,1,14.95,NA,NA
143430,AA Batteries (4-pack),1,3.84,NA,NA
143431,Lightning Charging Cable,1,14.95,NA,NA
143432,Apple Airpods Headphones,1,150.0,NA,NA
143433,Lightning Charging Cable,1,14.95,NA,NA
143434,AAA Batteries (4-pack),1,2.99,NA,NA
143435,AAA Batteries (4-pack),1,2.99,NA,NA
143436,iPhone,1,700.0,NA,NA
143437,Bose SoundSport Headphones,1,99.99,NA,NA
143438,Bose SoundSport Headphones,1,99.99,NA,NA
143439,Apple Airpods Headphones,1,150.0,NA,NA
143440,LG Dryer,1,600.0,NA,NA
143441,ThinkPad Laptop,1,999.99,NA,NA
143442,AA Batteries (4-pack),1,3.84,NA,NA
143443,Bose SoundSport Headphones,1,99.99,NA,NA
143444,ThinkPad Laptop,1,999.99,NA,NA
143445,27in 4K Gaming Monitor,1,389.99,NA,NA
143446,Wired Headphones,1,11.99,NA,NA
143447,27in FHD Monitor,1,149.99,NA,NA
143448,34in Ultrawide Monitor,1,379.99,NA,NA
143449,AAA Batteries (4-pack),1,2.99,NA,NA
143450,AA Batteries (4-pack),1,3.84,NA,NA
143451,Bose SoundSport Headphones,1,99.99,NA,NA
143452,Lightning Charging Cable,1,14.95,NA,NA
143453,AAA Batteries (4-pack),1,2.99,NA,NA
143454,AAA Batteries (4-pack),1,2.99,NA,NA
143455,Wired Headphones,1,11.99,NA,NA
143456,27in 4K Gaming Monitor,1,389.99,NA,NA
143457,AA Batteries (4-pack),1,3.84,NA,NA
143458,Apple Airpods Headphones,1,150.0,NA,NA
143459,Google Phone,1,600.0,NA,NA
143460,Apple Airpods Headphones,1,150.0,NA,NA
143461,Lightning Charging Cable,1,14.95,NA,NA
143462,USB-C Charging Cable,1,11.95,NA,NA
143463,USB-C Charging Cable,1,11.95,NA,NA
143464,20in Monitor,1,109.99,NA,NA
143465,Lightning Charging Cable,1,14.95,NA,NA
143466,USB-C Charging Cable,1,11.95,NA,NA
143467,Macbook Pro Laptop,1,1700.0,NA,NA
143468,27in FHD Monitor,1,149.99,NA,NA
143469,AA Batteries (4-pack),1,3.84,NA,NA
143470,AAA Batteries (4-pack),1,2.99,NA,NA
143471,Apple Airpods Headphones,1,150.0,NA,NA
143472,Bose SoundSport Headphones,1,99.99,NA,NA
143473,AAA Batteries (4-pack),1,2.99,NA,NA
143474,Google Phone,1,600.0,NA,NA
143475,Apple Airpods Headphones,1,150.0,NA,NA
143476,Lightning Charging Cable,1,14.95,NA,NA
143477,AAA Batteries (4-pack),1,2.99,NA,NA
143478,AA Batteries (4-pack),1,3.84,NA,NA
143479,Apple Airpods Headphones,1,150.0,NA,NA
143480,34in Ultrawide Monitor,1,379.99,NA,NA
143481,Google Phone,1,600.0,NA,NA
143482,Flatscreen TV,1,300.0,NA,NA
143483,34in Ultrawide Monitor,1,379.99,NA,NA
143484,Bose SoundSport Headphones,1,99.99,NA,NA
143485,27in 4K Gaming Monitor,1,389.99,NA,NA
143486,USB-C Charging Cable,1,11.95,NA,NA
143487,AAA Batteries (4-pack),1,2.99,NA,NA
143488,Lightning Charging Cable,1,14.95,NA,NA
143489,Bose SoundSport Headphones,1,99.99,NA,NA
143490,Google Phone,1,600.0,NA,NA
143491,Lightning Charging Cable,1,14.95,NA,NA
143492,AAA Batteries (4-pack),1,2.99,NA,NA
143493,Lightning Charging Cable,1,14.95,NA,NA
143494,Lightning Charging Cable,1,14.95,NA,NA
143495,AA Batteries (4-pack),1,3.84,NA,NA
143496,Bose SoundSport Headphones,1,99.99,NA,NA
143497,Lightning Charging Cable,1,14.95,NA,NA
143498,Bose SoundSport Headphones,1,99.99,NA,NA
143499,Google Phone,1,600.0,NA,NA
143500,USB-C Charging Cable,1,11.95,NA,NA
143501,Apple Airpods Headphones,1,150.0,NA,NA
143502,27in 4K Gaming Monitor,1,389.99,NA,NA
143503,20in Monitor,1,109.99,NA,NA
143504,USB-C Charging Cable,1,11.95,NA,NA
143505,20in Monitor,1,109.99,NA,NA
143506,34in Ultrawide Monitor,1,379.99,NA,NA
143507,AAA Batteries (4-pack),1,2.99,NA,NA
143508,Bose SoundSport Headphones,1,99.99,NA,NA
143509,Flatscreen TV,1,300.0,NA,NA
143510,Lightning Charging Cable,1,14.95,NA,NA
143511,Wired Headphones,1,11.99,NA,NA
143512,Macbook Pro Laptop,1,1700.0,NA,NA
143513,Lightning Charging Cable,1,14.95,NA,NA
143514,Lightning Charging Cable,1,14.95,NA,NA
143515,34in Ultrawide Monitor,1,379.99,NA,NA
143516,AAA Batteries (4-pack),1,2.99,NA,NA
143517,AAA Batteries (4-pack),1,2.99,NA,NA
143518,Macbook Pro Laptop,1,1700.0,NA,NA
143519,AA Batteries (4-pack),1,3.84,NA,NA
143520,Wired Headphones,1,11.99,NA,NA
143521,20in Monitor,1,109.99,NA,NA
143522,Wired Headphones,1,11.99,NA,NA
143523,Google Phone,1,600.0,NA,NA
143524,Bose SoundSport Headphones,1,99.99,NA,NA
143525,iPhone,1,700.0,NA,NA
143526,Flatscreen TV,1,300.0,NA,NA
143527,ThinkPad Laptop,1,999.99,NA,NA
143528,Wired Headphones,1,11.99,NA,NA
143529,Lightning Charging Cable,1,14.95,NA,NA
143530,Apple Airpods Headphones,1,150.0,NA,NA
143531,Lightning Charging Cable,1,14.95,NA,NA
143532,USB-C Charging Cable,1,11.95,NA,NA
143533,Google Phone,1,600.0,NA,NA
143534,Bose SoundSport Headphones,1,99.99,NA,NA
143535,ThinkPad Laptop,1,999.99,NA,NA
143536,20in Monitor,1,109.99,NA,NA
143537,Bose SoundSport Headphones,1,99.99,NA,NA
143538,Wired Headphones,1,11.99,NA,NA
143539,AAA Batteries (4-pack),1,2.99,NA,NA
143540,USB-C Charging Cable,1,11.95,NA,NA
143541,Google Phone,1,600.0,NA,NA
143542,USB-C Charging Cable,1,11.95,NA,NA
143543,Wired Headphones,1,11.99,NA,NA
143544,Wired Headphones,1,11.99,NA,NA
143545,27in FHD Monitor,1,149.99,NA,NA
143546,USB-C Charging Cable,1,11.95,NA,NA
143547,AA Batteries (4-pack),1,3.84,NA,NA
143548,34in Ultrawide Monitor,1,379.99,NA,NA
143549,AA Batteries (4-pack),1,3.84,NA,NA
143550,AA Batteries (4-pack),1,3.84,NA,NA
143551,USB-C Charging Cable,1,11.95,NA,NA
143552,AA Batteries (4-pack),1,3.84,NA,NA
143553,Bose SoundSport Headphones,1,99.99,NA,NA
143554,27in FHD Monitor,1,149.99,NA,NA
143555,Lightning Charging Cable,1,14.95,NA,NA
143556,Bose SoundSport Headphones,1,99.99,NA,NA
143557,Wired Headphones,1,11.99,NA,NA
143558,AA Batteries (4-pack),1,3.84,NA,NA
143559,USB-C Charging Cable,1,11.95,NA,NA
143560,27in FHD Monitor,1,149.99,NA,NA
143561,34in Ultrawide Monitor,1,379.99,NA,NA
143562,iPhone,1,700.0,NA,NA
143563,AAA Batteries (4-pack),1,2.99,NA,NA
143564,USB-C Charging Cable,1,11.95,NA,NA
143565,USB-C Charging Cable,1,11.95,NA,NA
143566,USB-C Charging Cable,1,11.95,NA,NA
143567,AAA Batteries (4-pack),1,2.99,NA,NA
143568,Wired Headphones,1,11.99,NA,NA
143569,AA Batteries (4-pack),1,3.84,NA,NA
143570,USB-C Charging Cable,1,11.95,NA,NA
143571,USB-C Charging Cable,1,11.95,NA,NA
143572,Lightning Charging Cable,1,14.95,NA,NA
143573,Flatscreen TV,1,300.0,NA,NA
143574,Wired Headphones,1,11.99,NA,NA
143575,27in 4K Gaming Monitor,1,389.99,NA,NA
143576,USB-C Charging Cable,1,11.95,NA,NA
143577,Wired Headphones,1,11.99,NA,NA
143578,Lightning Charging Cable,1,14.95,NA,NA
143579,27in FHD Monitor,1,149.99,NA,NA
143580,AA Batteries (4-pack),1,3.84,NA,NA
143581,USB-C Charging Cable,1,11.95,NA,NA
143582,Apple Airpods Headphones,1,150.0,NA,NA
143583,Apple Airpods Headphones,1,150.0,NA,NA
143584,27in 4K Gaming Monitor,1,389.99,NA,NA
143585,Apple Airpods Headphones,1,150.0,NA,NA
143586,USB-C Charging Cable,1,11.95,NA,NA
143587,Wired Headphones,1,11.99,NA,NA
143588,iPhone,1,700.0,NA,NA
143589,Wired Headphones,1,11.99,NA,NA
143590,Lightning Charging Cable,1,14.95,NA,NA
143591,Apple Airpods Headphones,1,150.0,NA,NA
143592,Bose SoundSport Headphones,1,99.99,NA,NA
143593,Wired Headphones,1,11.99,NA,NA
143594,AA Batteries (4-pack),1,3.84,NA,NA
143595,27in 4K Gaming Monitor,1,389.99,NA,NA
143596,USB-C Charging Cable,1,11.95,NA,NA
143597,USB-C Charging Cable,1,11.95,NA,NA
143598,Lightning Charging Cable,1,14.95,NA,NA
143599,USB-C Charging Cable,1,11.95,NA,NA
143600,ThinkPad Laptop,1,999.99,NA,NA
143601,AAA Batteries (4-pack),1,2.99,NA,NA
143602,27in FHD Monitor,1,149.99,NA,NA
143603,Apple Airpods Headphones,1,150.0,NA,NA
143604,AA Batteries (4-pack),1,3.84,NA,NA
143605,20in Monitor,1,109.99,NA,NA
143606,USB-C Charging Cable,1,11.95,NA,NA
143607,ThinkPad Laptop,1,999.99,NA,NA
143608,iPhone,1,700.0,NA,NA
143609,AA Batteries (4-pack),1,3.84,NA,NA
143610,Lightning Charging Cable,1,14.95,NA,NA
143611,Lightning Charging Cable,1,14.95,NA,NA
143612,Macbook Pro Laptop,1,1700.0,NA,NA
143613,AAA Batteries (4-pack),1,2.99,NA,NA
143614,Wired Headphones,1,11.99,NA,NA
143615,Lightning Charging Cable,1,14.95,NA,NA
143616,Wired Headphones,1,11.99,NA,NA
143617,Apple Airpods Headphones,1,150.0,NA,NA
143618,27in 4K Gaming Monitor,1,389.99,NA,NA
143619,Wired Headphones,1,11.99,NA,NA
143620,Lightning Charging Cable,1,14.95,NA,NA
143621,AAA Batteries (4-pack),1,2.99,NA,NA
143622,Vareebadd Phone,1,400.0,NA,NA
143623,Apple Airpods Headphones,1,150.0,NA,NA
143624,Lightning Charging Cable,1,14.95,NA,NA
143625,34in Ultrawide Monitor,1,379.99,NA,NA
143626,Apple Airpods Headphones,1,150.0,NA,NA
143627,USB-C Charging Cable,1,11.95,NA,NA
143628,Macbook Pro Laptop,1,1700.0,NA,NA
143629,Lightning Charging Cable,1,14.95,NA,NA
143630,Lightning Charging Cable,1,14.95,NA,NA
143631,Apple Airpods Headphones,1,150.0,NA,NA
143632,AA Batteries (4-pack),1,3.84,NA,NA
143633,AAA Batteries (4-pack),1,2.99,NA,NA
143634,34in Ultrawide Monitor,1,379.99,NA,NA
143635,20in Monitor,1,109.99,NA,NA
143636,Apple Airpods Headphones,1,150.0,NA,NA
143637,AAA Batteries (4-pack),1,2.99,NA,NA
143638,Apple Airpods Headphones,1,150.0,NA,NA
143639,Google Phone,1,600.0,NA,NA
143640,Wired Headphones,1,11.99,NA,NA
143641,AA Batteries (4-pack),1,3.84,NA,NA
143642,Apple Airpods Headphones,1,150.0,NA,NA
143643,Bose SoundSport Headphones,1,99.99,NA,NA
143644,AA Batteries (4-pack),1,3.84,NA,NA
143645,Wired Headphones,1,11.99,NA,NA
143646,USB-C Charging Cable,1,11.95,NA,NA
143647,iPhone,1,700.0,NA,NA
143648,AA Batteries (4-pack),1,3.84,NA,NA
143649,Bose SoundSport Headphones,1,99.99,NA,NA
143650,AAA Batteries (4-pack),1,2.99,NA,NA
143651,AAA Batteries (4-pack),1,2.99,NA,NA
143652,AA Batteries (4-pack),1,3.84,NA,NA
143653,27in FHD Monitor,1,149.99,NA,NA
143654,34in Ultrawide Monitor,1,379.99,NA,NA
143655,ThinkPad Laptop,1,999.99,NA,NA
143656,Macbook Pro Laptop,1,1700.0,NA,NA
143657,20in Monitor,1,109.99,NA,NA
143658,USB-C Charging Cable,1,11.95,NA,NA
143659,USB-C Charging Cable,1,11.95,NA,NA
143660,Apple Airpods Headphones,1,150.0,NA,NA
143661,AAA Batteries (4-pack),1,2.99,NA,NA
143662,Bose SoundSport Headphones,1,99.99,NA,NA
143663,USB-C Charging Cable,1,11.95,NA,NA
143664,Apple Airpods Headphones,1,150.0,NA,NA
143665,Apple Airpods Headphones,1,150.0,NA,NA
143666,Apple Airpods Headphones,1,150.0,NA,NA
143667,Apple Airpods Headphones,1,150.0,NA,NA
143668,34in Ultrawide Monitor,1,379.99,NA,NA
143669,Lightning Charging Cable,1,14.95,NA,NA
143670,Google Phone,1,600.0,NA,NA
143671,27in FHD Monitor,1,149.99,NA,NA
143672,Wired Headphones,1,11.99,NA,NA
143673,AAA Batteries (4-pack),1,2.99,NA,NA
143674,Google Phone,1,600.0,NA,NA
143675,Macbook Pro Laptop,1,1700.0,NA,NA
143676,iPhone,1,700.0,NA,NA
143677,USB-C Charging Cable,1,11.95,NA,NA
143678,Lightning Charging Cable,1,14.95,NA,NA
143679,Wired Headphones,1,11.99,NA,NA
143680,AA Batteries (4-pack),1,3.84,NA,NA
143681,Wired Headphones,1,11.99,NA,NA
143682,Lightning Charging Cable,1,14.95,NA,NA
143683,USB-C Charging Cable,1,11.95,NA,NA
143684,27in FHD Monitor,1,149.99,NA,NA
143685,Wired Headphones,1,11.99,NA,NA
143686,USB-C Charging Cable,1,11.95,NA,NA
143687,AA Batteries (4-pack),1,3.84,NA,NA
143688,Flatscreen TV,1,300.0,NA,NA
143689,Wired Headphones,1,11.99,NA,NA
143690,iPhone,1,700.0,NA,NA
143691,iPhone,1,700.0,NA,NA
143692,34in Ultrawide Monitor,1,379.99,NA,NA
143693,Wired Headphones,1,11.99,NA,NA
143694,Wired Headphones,1,11.99,NA,NA
143695,AA Batteries (4-pack),1,3.84,NA,NA
143696,Wired Headphones,1,11.99,NA,NA
143697,Wired Headphones,1,11.99,NA,NA
143698,AAA Batteries (4-pack),1,2.99,NA,NA
143699,Apple Airpods Headphones,1,150.0,NA,NA
143700,Lightning Charging Cable,1,14.95,NA,NA
143701,USB-C Charging Cable,1,11.95,NA,NA
143702,ThinkPad Laptop,1,999.99,NA,NA
143703,34in Ultrawide Monitor,1,379.99,NA,NA
143704,34in Ultrawide Monitor,1,379.99,NA,NA
143705,USB-C Charging Cable,1,11.95,NA,NA
143706,Lightning Charging Cable,1,14.95,NA,NA
143707,Lightning Charging Cable,1,14.95,NA,NA
143708,Bose SoundSport Headphones,1,99.99,NA,NA
143709,Macbook Pro Laptop,1,1700.0,NA,NA
143710,AAA Batteries (4-pack),1,2.99,NA,NA
143711,Bose SoundSport Headphones,1,99.99,NA,NA
143712,27in FHD Monitor,1,149.99,NA,NA
143713,Bose SoundSport Headphones,1,99.99,NA,NA
143714,Lightning Charging Cable,1,14.95,NA,NA
143715,USB-C Charging Cable,1,11.95,NA,NA
143716,LG Dryer,1,600.0,NA,NA
143717,Apple Airpods Headphones,1,150.0,NA,NA
143718,Apple Airpods Headphones,1,150.0,NA,NA
143719,AA Batteries (4-pack),1,3.84,NA,NA
143720,Google Phone,1,600.0,NA,NA
143721,AAA Batteries (4-pack),1,2.99,NA,NA
143722,Vareebadd Phone,1,400.0,NA,NA
143723,Apple Airpods Headphones,1,150.0,NA,NA
143724,LG Dryer,1,600.0,NA,NA
143725,AA Batteries (4-pack),1,3.84,NA,NA
143726,Lightning Charging Cable,1,14.95,NA,NA
143727,20in Monitor,1,109.99,NA,NA
143728,AAA Batteries (4-pack),1,2.99,NA,NA
143729,AA Batteries (4-pack),1,3.84,NA,NA
143730,AAA Batteries (4-pack),1,2.99,NA,NA
143731,USB-C Charging Cable,1,11.95,NA,NA
143732,Wired Headphones,1,11.99,NA,NA
143733,20in Monitor,1,109.99,NA,NA
143734,AA Batteries (4-pack),1,3.84,NA,NA
143735,AA Batteries (4-pack),1,3.84,NA,NA
143736,Apple Airpods Headphones,1,150.0,NA,NA
143737,Lightning Charging Cable,1,14.95,NA,NA
143738,Lightning Charging Cable,1,14.95,NA,NA
143739,ThinkPad Laptop,1,999.99,NA,NA
143740,Bose SoundSport Headphones,1,99.99,NA,NA
143741,AA Batteries (4-pack),1,3.84,NA,NA
143742,USB-C Charging Cable,1,11.95,NA,NA
143743,AAA Batteries (4-pack),1,2.99,NA,NA
143744,Bose SoundSport Headphones,1,99.99,NA,NA
143745,Wired Headphones,1,11.99,NA,NA
143746,27in 4K Gaming Monitor,1,389.99,NA,NA
143747,ThinkPad Laptop,1,999.99,NA,NA
143748,Bose SoundSport Headphones,1,99.99,NA,NA
143749,Apple Airpods Headphones,1,150.0,NA,NA
143750,AA Batteries (4-pack),1,3.84,NA,NA
143751,AA Batteries (4-pack),1,3.84,NA,NA
143752,Bose SoundSport Headphones,1,99.99,NA,NA
143753,Lightning Charging Cable,1,14.95,NA,NA
143754,USB-C Charging Cable,1,11.95,NA,NA
143755,Apple Airpods Headphones,1,150.0,NA,NA
143756,AAA Batteries (4-pack),1,2.99,NA,NA
143757,AA Batteries (4-pack),1,3.84,NA,NA
143758,Bose SoundSport Headphones,1,99.99,NA,NA
143759,20in Monitor,1,109.99,NA,NA
143760,Flatscreen TV,1,300.0,NA,NA
143761,Wired Headphones,1,11.99,NA,NA
143762,Lightning Charging Cable,1,14.95,NA,NA
143763,AA Batteries (4-pack),1,3.84,NA,NA
143764,Lightning Charging Cable,1,14.95,NA,NA
143765,Apple Airpods Headphones,1,150.0,NA,NA
143766,AA Batteries (4-pack),1,3.84,NA,NA
143767,Bose SoundSport Headphones,1,99.99,NA,NA
143768,Apple Airpods Headphones,1,150.0,NA,NA
143769,Wired Headphones,1,11.99,NA,NA
143770,iPhone,1,700.0,NA,NA
143771,27in FHD Monitor,1,149.99,NA,NA
143772,Lightning Charging Cable,1,14.95,NA,NA
143773,AAA Batteries (4-pack),1,2.99,NA,NA
143774,Lightning Charging Cable,1,14.95,NA,NA
143775,34in Ultrawide Monitor,1,379.99,NA,NA
143776,AAA Batteries (4-pack),1,2.99,NA,NA
143777,AA Batteries (4-pack),1,3.84,NA,NA
143778,Wired Headphones,1,11.99,NA,NA
143779,Lightning Charging Cable,1,14.95,NA,NA
143780,Apple Airpods Headphones,1,150.0,NA,NA
143781,USB-C Charging Cable,1,11.95,NA,NA
143782,AAA Batteries (4-pack),1,2.99,NA,NA
143783,Flatscreen TV,1,300.0,NA,NA
143784,Lightning Charging Cable,1,14.95,NA,NA
143785,USB-C Charging Cable,1,11.95,NA,NA
143786,Lightning Charging Cable,1,14.95,NA,NA
143787,AA Batteries (4-pack),1,3.84,NA,NA
143788,27in 4K Gaming Monitor,1,389.99,NA,NA
143789,Bose SoundSport Headphones,1,99.99,NA,NA
